id,item_id,img,price,shipping
5c1e5f13e1b2a,291669623721,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.19,$13.75
5c1e5f13e43ff,401061187813,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.19,$13.75
5c1e5f13e729b,291671722890,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.19,$13.75
5c1e5f13ea1d1,300964671150,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.19,$14.75
5c1e5f13ed4d9,400573000247,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.19,$14.75
5c1e5f13eff3a,312382599789,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.21,$99.63
5c1e5f13f2aa9,312355641330,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.39,$51.27
5c1e5f14012ce,290724882408,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.49,$13.75
5c1e5f1403bd5,312351827398,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.87,$47.28
5c1e5f1406698,312334839724,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.95,$51.29
5c1e5f140907d,312342795037,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.95,$51.29
5c1e5f140bb3e,312388070331,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.95,$51.29
5c1e5f140e72a,232179681128,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.99,$49.75
5c1e5f1411400,232243839439,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$10.99,$49.75
5c1e5f1413e91,312337241913,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.00,$43.53
5c1e5f14169e8,312355323321,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.10,$51.30
5c1e5f1419735,312381213811,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.43,$51.31
5c1e5f141c551,312388720918,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.43,$43.55
5c1e5f141f2a8,312389056473,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.43,$51.31
